codmunic;Munic­pio.x;homic 2016;pop 2016;taxa
261640;Vit½ria de Santo Ant’o;88;136706;64,37171741
352940;Mauÿ;86;457696;18,78976439
411990;Ponta Grossa;86;341130;25,21033037
420540;Florian½polis;86;477798;17,99923817
431870;S’o Leopoldo;86;229678;37,44372556
330452;Rio das Ostras;85;136626;62,2136343
150680;Santar?m;84;294447;28,52805428
521760;Planaltina;84;88178;95,2618567
211220;Timon;83;166295;49,9113022
320530;Vit½ria;83;359555;23,08409006
521880;Rio Verde;82;212237;38,63605309
231180;Russas;81;75762;106,9137562
355100;S’o Vicente;81;357989;22,62639355
355410;Taubat?;81;305174;26,54223492
290650;Candeias;80;89271;89,61476851
330020;Araruama;80;124940;64,03073475
293290;Valen?a;79;98053;80,56867204
352310;Itaquaquecetuba;79;356774;22,14286916
351380;Diadema;78;415180;18,78703213
150550;Paragominas;77;108547;70,93701346
260720;Ipojuca;77;92965;82,82687033
315780;Santa Luzia;75;217610;34,46532788
355280;Tabo’o da Serra;75;275948;27,17903373
260680;Igarassu;74;113956;64,93734424
292400;Paulo Afonso;74;119930;61,70265988
520800;Formosa;74;114036;64,89178856
317010;Uberaba;73;325279;22,44227263
292870;Santo Ant?nio de Jesus;72;102469;70,26515336
312980;Ibirit?;72;175721;40,97404408
320490;S’o Mateus;72;126437;56,94535619
291005;Dias d'ævila;71;79401;89,41952872
431690;Santa Maria;71;277309;25,60320797
522045;Senador Canedo;71;102947;68,96752698
522185;Valpara­so de Goiÿs;71;156419;45,3909052
150010;Abaetetuba;70;151934;46,0726368
315670;Sabarÿ;70;135196;51,77667978
432000;Sapucaia do Sul;70;138933;50,38399804
231290;Sobral;69;203682;33,87633664
261370;S’o Louren?o da Mata;69;111197;62,05203378
313130;Ipatinga;69;259324;26,60764141
313760;Lagoa Santa;69;60787;113,5111126
330630;Volta Redonda;69;263659;26,17016677
500370;Dourados;68;215486;31,55657444
150360;Itaituba;67;98485;68,03066457
351500;Embu das Artes;67;264448;25,3357938
312230;Divin½polis;66;232945;28,33286827
522140;Trindade;66;119385;55,28332705
150150;Benevides;65;59836;108,630256
150810;Tucuru­;65;108885;59,69600955
230100;Aquiraz;65;78438;82,86799765
230770;Maranguape;65;125058;51,97588319
410765;Fazenda Rio Grande;65;93730;69,3481276
521523;Novo Gama;65;108410;59,95756849
230960;Pacajus;64;69877;91,58950728
320120;Cachoeiro de Itapemirim;64;210325;30,42909782
431340;Novo Hamburgo;64;249113;25,69115221
314700;Paracatu;63;91724;68,68431381
210750;Pa?o do Lumiar;62;119915;51,70328983
260940;Moreno;62;61577;100,6869448
291470;Itaberaba;62;66592;93,10427679
430930;Gua­ba;62;99186;62,50882181
520549;Cidade Ocidental;62;65520;94,62759463
110002;Ariquemes;61;105896;57,60368664
240710;Maca­ba;61;79211;77,00950626
291955;Lu­s Eduardo Magalh’es;61;81730;74,63599657
320320;Linhares;61;166491;36,6386171
354980;S’o Jos? do Rio Preto;61;446649;13,65725659
411820;Paranaguÿ;61;151829;40,17677782
431410;Passo Fundo;61;197798;30,83954337
110030;Vilhena;60;93745;64,00341352
160060;Santana;60;113854;52,69907074
150795;TailŸndia;59;100300;58,82352941
261250;Santa Cruz do Capibaribe;59;103660;56,91684353
410180;Araucÿria;59;135459;43,55561461
230550;Iguatu;58;102013;56,85549881
280350;Lagarto;58;103188;56,20808621
352220;Itapecerica da Serra;58;169103;34,29862273
270770;Rio Largo;57;75688;75,30916394
354100;Praia Grande;57;304705;18,70661788
411950;Piraquara;57;106132;53,70670486
521975;Santo Ant?nio do Descoberto;57;70950;80,33826638
150650;Santa Izabel do Parÿ;56;67686;82,73498212
230970;Pacatuba;56;81627;68,60475088
260190;Bezerros;56;60469;92,60943624
260520;Escada;56;67839;82,54838662
261060;Paudalho;56;55493;100,9136287
354890;S’o Carlos;56;243765;22,97294525
260600;Garanhuns;55;137810;39,91002104
311940;Coronel Fabriciano;55;109857;50,06508461
330270;Maricÿ;55;149876;36,69700286
353060;Mogi das Cruzes;55;429321;12,81092702
520510;Catal’o;55;100590;54,67740332
231130;Quixadÿ;54;85991;62,79726948
355240;Sumar?;54;269522;20,0354702
500660;Ponta Por’;54;88164;61,24948959
230420;Crato;53;129662;40,87550709
230870;Morada Nova;53;61722;85,86889602
291560;Itamaraju;53;67305;78,74600698
313510;Janaœba;53;71279;74,35570084
317120;Vespasiano;53;120510;43,97975272
330520;S’o Pedro da Aldeia;53;98470;53,82349954
350570;Barueri;53;264935;20,00490686
351870;Guarujÿ;53;313421;16,91016237
510790;Sinop;53;132934;39,86940888
520620;Cristalina;53;54337;97,53942985
150130;Barcarena;52;118537;43,86815931
291465;Itabela;52;31244;166,4319549
351060;Carapicu­ba;52;394465;13,18241162
410940;Guarapuava;52;179256;29,0087919
130250;Manacapuru;51;95330;53,49837407
150506;Novo Repartimento;51;72347;70,49359338
210005;A?ailŸndia;51;110543;46,13589282
210300;Caxias;51;161926;31,49586848
230428;Eus?bio;51;51913;98,24128831
290390;Bom Jesus da Lapa;51;70090;72,76358967
420420;Chapec½;51;209553;24,33751843
420820;Itaja­;51;208958;24,4068186
110012;Ji-Paranÿ;50;131560;38,00547279
130120;Coari;50;83929;59,57416388
230523;Horizonte;50;64673;77,31201583
352440;Jacare­;50;228214;21,90926061
354140;Presidente Prudente;50;223749;22,34646859
354850;Santos;50;434359;11,51121538
430310;Cachoeirinha;50;126666;39,47389197
210120;Bacabal;49;103020;47,56357989
320240;Guarapari;49;121506;40,32722664
350280;Ara?atuba;49;193828;25,28014528
353870;Piracicaba;49;394419;12,4233366
411520;Maringÿ;49;403063;12,15690847
270930;Uni’o dos Palmares;48;66255;72,44736246
290840;Concei?’o do Coit?;48;67875;70,71823204
410420;Campo Largo;48;125719;38,18038642
260005;Abreu e Lima;47;98990;47,47954339
260620;Goiana;47;78940;59,5388903
291460;Irec?;46;73915;62,23364676
292520;Pojuca;46;37993;121,0749349
315250;Pouso Alegre;46;145535;31,60751709
431680;Santa Cruz do Sul;46;126775;36,28475646
150730;S’o F?lix do Xingu;45;120580;37,31962183
210990;Santa In?s;45;83759;53,72556979
241220;S’o Jos? de Mipibu;45;43598;103,2157438
260170;Belo Jardim;45;75729;59,42241413
261000;Palmares;45;62571;71,91830081
270630;Palmeira dos ™ndios;45;74049;60,77057084
290750;Catu;45;56037;80,3040848
293320;Vera Cruz;45;43162;104,2583754
431560;Rio Grande;45;208641;21,56814816
260260;Brejo da Madre de Deus;44;49624;88,66677414
260420;Catende;44;41865;105,0997253
291750;Jacobina;44;83435;52,73566249
330550;Saquarema;44;83750;52,53731343
411915;Pinhais;44;128256;34,30638723
412710;Tel?maco Borba;44;76550;57,47877204
150215;Cana’ dos Carajÿs;43;34853;123,3753192
150470;Moju;43;78629;54,68720192
270230;Coruripe;43;57079;75,33418595
421660;S’o Jos?;43;236029;18,21810032
210330;Cod½;42;120548;34,84089325
351050;Caraguatatuba;42;115071;36,49920484
355250;Suzano;42;288056;14,58049824
150170;Bragan?a;41;122881;33,36561389
150820;Vigia;41;51705;79,29600619
230760;Limoeiro do Norte;41;58552;70,02322722
260120;Arcoverde;41;73154;56,04614922
260640;Gravatÿ;41;82579;49,64942661
290850;Concei?’o do Jacu­pe;41;33624;121,9367119
316860;Te½filo Otoni;41;141502;28,97485548
330420;Resende;41;126084;32,51800387
420240;Blumenau;41;343715;11,92848726
150330;Igarap?-Miri;40;60675;65,9250103
317080;Vÿrzea da Palma;40;38838;102,9919151
353800;Pindamonhangaba;40;162327;24,64161846
521150;Itumbiara;40;101544;39,39179075
171820;Porto Nacional;39;52510;74,27156732
260110;Araripina;39;83287;46,82603528
261530;Timbaœba;39;53328;73,13231323
280360;Laranjeiras;39;29418;132,5718948
292950;S’o Sebasti’o do Pass?;39;45660;85,41392904
315180;Po?os de Caldas;39;164912;23,64897642
354390;Rio Claro;39;201473;19,35743251
430770;Esteio;39;84114;46,36564662
150613;Reden?’o;38;81647;46,54182028
210160;Barra do Corda;38;86662;43,84851492
260400;Carpina;38;81884;46,4071125
